Date,Open,High,Low,Close
10/01/2020,356.9,369.18,345.85,351.61
09/30/2020,357.66,360.32,351.5,356.64
09/29/2020,362.73,363.77,350.4,357.72
09/28/2020,353.21,367.9,352.36,362.73
09/27/2020,353.68,362.2,347.51,353.33
09/26/2020,354.93,357.55,346.8,353.68
09/25/2020,345.67,358,337.84,354.9
09/24/2020,321.9,348.83,317.1,345.66
09/23/2020,344.72,346.9,314.76,321.9
09/22/2020,346.7,349.5,335.6,344.85
09/21/2020,369.55,376.31,332.46,346.59
09/20/2020,386.03,386.03,365.22,369.6
09/19/2020,380.21,387.84,377.31,386.03
09/18/2020,393.06,393.99,375.89,380.61
09/17/2020,365.72,394.2,363.49,392.15
09/16/2020,365.6,373.43,355.21,365.71
09/15/2020,376.32,382,362.57,365.56
09/14/2020,363,384.15,356.43,376.32
09/13/2020,383.63,389.77,354,363
09/12/2020,368.79,386.66,365.75,383.27
09/11/2020,365.72,372.57,356,368.43
09/10/2020,353.23,377.69,350.81,365.39
09/09/2020,335.63,358.97,325.93,353.69
09/08/2020,345.37,356.36,331.1,335.66
09/07/2020,351.73,359.9,323.62,344.7
09/06/2020,331.14,357.38,316.83,351.89
09/05/2020,391.78,394.5,311.04,333.29
09/04/2020,406.2,407.66,360.9,391.78
09/03/2020,436.39,450,391,405.9
09/02/2020,482,488.26,422.23,436.64
09/01/2020,432.27,486,430.04,482.44
08/31/2020,422.97,438.99,418.23,432.33
08/30/2020,405.29,427.92,398.4,423
08/29/2020,394.2,405.67,391.05,405.21
08/28/2020,379.43,397.87,379,394.21
08/27/2020,389.6,396.85,372.01,379.69
08/26/2020,377.59,393.5,377.59,389.32
08/25/2020,401.06,410.39,370.26,377.4
08/24/2020,392.67,408.64,387.82,401.41
08/23/2020,388.65,396.9,384.01,392.69
08/22/2020,395.04,397,379.28,388.71
08/21/2020,416.37,419.39,395.01,395.03
08/20/2020,404.75,418.51,402.92,416.3
08/19/2020,427.15,429.09,394.25,404.4
08/18/2020,437.86,440.11,415.52,427.07
08/17/2020,430.1,447.03,420.71,437.85
08/16/2020,432.28,437.08,412.9,430.72
08/15/2020,439,443.11,430.25,432.5
08/14/2020,415.96,444.35,413.88,438.99
08/13/2020,386.46,411.28,377.85,409.8
08/12/2020,373,389.44,367.17,386.61
08/11/2020,395.41,398.37,367.04,373.99
08/10/2020,393.24,400,387.34,395.53
08/09/2020,388.43,400.35,384.37,393.23
08/08/2020,377.54,393.51,376.62,388.49
08/07/2020,396.87,399,365.43,378.01
08/06/2020,400.56,407.81,392.79,396.81
08/05/2020,388.46,402,384.87,400.58
08/04/2020,391,402.85,381.51,388.46
08/03/2020,373.32,398.28,368.01,390.64
08/02/2020,386.97,415.05,338.72,374.39
08/01/2020,345.63,388.59,343.5,386.82
07/31/2020,338.67,348.01,329.01,345.73
07/30/2020,322.41,341.91,314.9,339.11
07/29/2020,320.01,325.27,313.31,322.64
07/28/2020,324.43,333.46,306.74,319.74
07/27/2020,310.35,329.5,309.67,324.25
07/26/2020,306.03,319.82,300.51,310.92
07/25/2020,286.58,308.01,278.39,305.82
07/24/2020,273.34,286.94,268.85,286.37
07/23/2020,245.9,279.81,245.56,273.34
07/22/2020,245.08,246.19,242.18,245.92
07/21/2020,236.4,246.9,235.48,245.08
07/20/2020,235.71,240,234.48,236.4
07/19/2020,236.35,236.35,233.41,235.71
07/18/2020,232.35,236.96,232.29,236.35
07/17/2020,232.63,234.38,231.54,232.53
07/16/2020,238.17,239.11,230.06,232.61
07/15/2020,241.39,241.42,236.64,238.17
07/14/2020,238.92,241.9,236.93,241.35
07/13/2020,238.75,245.26,237.46,238.87
07/12/2020,238.87,243.79,236.79,238.76
07/11/2020,239.29,241.69,237.74,238.71
07/10/2020,241.24,242.08,235.8,239.29
07/09/2020,246.56,248.32,238.04,241.31
07/08/2020,238.57,248.9,237.41,246.24
07/07/2020,238.25,243.69,234.61,238.57
07/06/2020,224.95,240.58,223.59,238.25
07/05/2020,229.21,229.95,223.88,225.09
07/04/2020,226.87,230.62,224.5,229.21
07/03/2020,226.29,228.18,225.48,226.88
07/02/2020,231.51,232.06,223.04,226.29
07/01/2020,225.47,232.76,224.16,231.51
06/30/2020,227.73,229.82,222.87,225.47
06/29/2020,224.81,227.95,221.23,227.3
06/28/2020,218.34,227.57,217.8,224.85
06/27/2020,230.26,231.33,215.9,218.6
06/26/2020,233.61,234.78,227.5,230.27
06/25/2020,234.7,235.42,227.6,233.61
06/24/2020,243.52,249.23,231.03,234.6
06/23/2020,245.11,246.4,240.85,243.52
06/22/2020,228.99,245.43,227.18,244.65
06/21/2020,227.58,231,227.57,228.99
06/20/2020,229.22,230.66,225.99,227.58
06/19/2020,228.52,232.05,226.61,229.2
06/18/2020,231.1,234.45,228.28,229.06
06/17/2020,233.73,237.01,228.29,231.1
06/16/2020,233.4,236.01,228.8,233.73
06/15/2020,234.12,234.22,218.21,232.68
06/14/2020,236.94,238.37,233.09,234.12
06/13/2020,237.66,238.62,234.65,236.94
06/12/2020,232.37,239.19,228.04,237.67
06/11/2020,247.88,250.04,227.21,232.37
06/10/2020,243.52,250.12,185.52,247.75
06/09/2020,242.21,249.8,240.79,243.52
06/08/2020,242.57,245.59,241.22,242.1
06/07/2020,242.21,244.08,235,241.85
